+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME           | PACKAGE VERSION    | CVE DESCRIPTION                                 |
|            |                       |                        |                    | socket and D-Bus activation for starting        |
|            |                       |                        |                    | services, offers on-demand starting of daemons, |
|            |                       |                        |                    | and keeps track of processes using Linux        |
|            |                       |                        |                    | cgroups. In addition, it supports snapshotting  |
|            |                       |                        |                    | and restoring of the system state, maintains    |
|            |                       |                        |                    | mount and automount points, and implements      |
|            |                       |                        |                    | an elaborate transactional dependency-based     |
|            |                       |                        |                    | service control logic. It can also work as      |
|            |                       |                        |                    | a drop-in replacement for sysvinit. Security    |
|            |                       |                        |                    | Fix(es): * systemd: uncontrolled allocation     |
|            |                       |                        |                    | on the stack in function unit_name_path_escape  |
|            |                       |                        |                    | leads to crash (CVE-2021-33910) For more        |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2717 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2021:2170   | glib2                  | 2.56.4-9.el8       | GLib provides the core application building     |
|            |                       |                        |                    | blocks for libraries and applications written   |
|            |                       |                        |                    | in C. It provides the core object system        |
|            |                       |                        |                    | used in GNOME, the main loop implementation,    |
|            |                       |                        |                    | and a large set of utility functions            |
|            |                       |                        |                    | for strings and common data structures.         |
|            |                       |                        |                    | Security Fix(es): * glib: integer overflow      |
|            |                       |                        |                    | in g_bytes_new function on 64-bit platforms     |
|            |                       |                        |                    | due to an implicit cast from 64 bits to         |
|            |                       |                        |                    | 32 bits (CVE-2021-27219) For more details       |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | Bug Fix(es): * Refcounting issue causes         |
|            |                       |                        |                    | crashes and slow workarounds (BZ#1953553)       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2170 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2021:2717   | systemd                | 239-45.el8         | The systemd packages contain systemd, a system  |
|            |                       |                        |                    | and service manager for Linux, compatible with  |
|            |                       |                        |                    | the SysV and LSB init scripts. It provides      |
|            |                       |                        |                    | aggressive parallelism capabilities, uses       |
|            |                       |                        |                    | socket and D-Bus activation for starting        |
|            |                       |                        |                    | services, offers on-demand starting of daemons, |
|            |                       |                        |                    | and keeps track of processes using Linux        |
|            |                       |                        |                    | cgroups. In addition, it supports snapshotting  |
|            |                       |                        |                    | and restoring of the system state, maintains    |
|            |                       |                        |                    | mount and automount points, and implements      |
|            |                       |                        |                    | an elaborate transactional dependency-based     |
|            |                       |                        |                    | service control logic. It can also work as      |
|            |                       |                        |                    | a drop-in replacement for sysvinit. Security    |
|            |                       |                        |                    | Fix(es): * systemd: uncontrolled allocation     |
|            |                       |                        |                    | on the stack in function unit_name_path_escape  |
|            |                       |                        |                    | leads to crash (CVE-2021-33910) For more        |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2717 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2022:0658   | cyrus-sasl-lib         | 2.1.27-5.el8       | The cyrus-sasl packages contain the Cyrus       |
|            |                       |                        |                    | implementation of Simple Authentication         |
|            |                       |                        |                    | and Security Layer (SASL). SASL is a            |
|            |                       |                        |                    | method for adding authentication support to     |
|            |                       |                        |                    | connection-based protocols. Security Fix(es):   |
|            |                       |                        |                    | * cyrus-sasl: failure to properly escape SQL    |
|            |                       |                        |                    | input allows an attacker to execute arbitrary   |
|            |                       |                        |                    | SQL commands (CVE-2022-24407) For more details  |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0658 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2021:2717   | systemd-libs           | 239-45.el8         | The systemd packages contain systemd, a system  |
|            |                       |                        |                    | and service manager for Linux, compatible with  |
|            |                       |                        |                    | the SysV and LSB init scripts. It provides      |
|            |                       |                        |                    | aggressive parallelism capabilities, uses       |
|            |                       |                        |                    | socket and D-Bus activation for starting        |
|            |                       |                        |                    | services, offers on-demand starting of daemons, |
|            |                       |                        |                    | and keeps track of processes using Linux        |
|            |                       |                        |                    | cgroups. In addition, it supports snapshotting  |
|            |                       |                        |                    | and restoring of the system state, maintains    |
|            |                       |                        |                    | mount and automount points, and implements      |
|            |                       |                        |                    | an elaborate transactional dependency-based     |
|            |                       |                        |                    | service control logic. It can also work as      |
|            |                       |                        |                    | a drop-in replacement for sysvinit. Security    |
|            |                       |                        |                    | Fix(es): * systemd: uncontrolled allocation     |
|            |                       |                        |                    | on the stack in function unit_name_path_escape  |
|            |                       |                        |                    | leads to crash (CVE-2021-33910) For more        |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2717 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2021:1206   | nettle                 | 3.4.1-2.el8        | The gnutls packages provide the GNU             |
|            |                       |                        |                    | Transport Layer Security (GnuTLS) library,      |
|            |                       |                        |                    | which implements cryptographic algorithms       |
|            |                       |                        |                    | and protocols such as SSL, TLS, and DTLS.       |
|            |                       |                        |                    | Nettle is a cryptographic library that is       |
|            |                       |                        |                    | designed to fit easily in almost any context:   |
|            |                       |                        |                    | In crypto toolkits for object-oriented          |
|            |                       |                        |                    | languages, such as C++, Python, or Pike, in     |
|            |                       |                        |                    | applications like LSH or GNUPG, or even in      |
|            |                       |                        |                    | kernel space. Security Fix(es): * nettle:       |
|            |                       |                        |                    | Out of bounds memory access in signature        |
|            |                       |                        |                    | verification (CVE-2021-20305) For more details  |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:1206 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2021:2717   | systemd-pam            | 239-45.el8         | The systemd packages contain systemd, a system  |
|            |                       |                        |                    | and service manager for Linux, compatible with  |
|            |                       |                        |                    | the SysV and LSB init scripts. It provides      |
|            |                       |                        |                    | aggressive parallelism capabilities, uses       |
|            |                       |                        |                    | socket and D-Bus activation for starting        |
|            |                       |                        |                    | services, offers on-demand starting of daemons, |
|            |                       |                        |                    | and keeps track of processes using Linux        |
|            |                       |                        |                    | cgroups. In addition, it supports snapshotting  |
|            |                       |                        |                    | and restoring of the system state, maintains    |
|            |                       |                        |                    | mount and automount points, and implements      |
|            |                       |                        |                    | an elaborate transactional dependency-based     |
|            |                       |                        |                    | service control logic. It can also work as      |
|            |                       |                        |                    | a drop-in replacement for sysvinit. Security    |
|            |                       |                        |                    | Fix(es): * systemd: uncontrolled allocation     |
|            |                       |                        |                    | on the stack in function unit_name_path_escape  |
|            |                       |                        |                    | leads to crash (CVE-2021-33910) For more        |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2717 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2021:1206   | gnutls                 | 3.6.14-7.el8_3     | The gnutls packages provide the GNU             |
|            |                       |                        |                    | Transport Layer Security (GnuTLS) library,      |
|            |                       |                        |                    | which implements cryptographic algorithms       |
|            |                       |                        |                    | and protocols such as SSL, TLS, and DTLS.       |
|            |                       |                        |                    | Nettle is a cryptographic library that is       |
|            |                       |                        |                    | designed to fit easily in almost any context:   |
|            |                       |                        |                    | In crypto toolkits for object-oriented          |
|            |                       |                        |                    | languages, such as C++, Python, or Pike, in     |
|            |                       |                        |                    | applications like LSH or GNUPG, or even in      |
|            |                       |                        |                    | kernel space. Security Fix(es): * nettle:       |
|            |                       |                        |                    | Out of bounds memory access in signature        |
|            |                       |                        |                    | verification (CVE-2021-20305) For more details  |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:1206 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4464 | dnf                    | 4.4.2-11.el8       | dnf is a package manager that allows users to   |
|            |                       |                        |                    | manage packages on their systems. It supports   |
|            |                       |                        |                    | RPMs, modules and comps groups & environments.  |
|            |                       |                        |                    | Security Fix(es): * libdnf: Signature           |
|            |                       |                        |                    | verification bypass via signature placed in     |
|            |                       |                        |                    | the main RPM header (CVE-2021-3445) For more    |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4464 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:3058 | glib2                  | 2.56.4-9.el8       | GLib provides the core application building     |
|            |                       |                        |                    | blocks for libraries and applications written   |
|            |                       |                        |                    | in C. It provides the core object system        |
|            |                       |                        |                    | used in GNOME, the main loop implementation,    |
|            |                       |                        |                    | and a large set of utility functions for        |
|            |                       |                        |                    | strings and common data structures. Security    |
|            |                       |                        |                    | Fix(es): * glib: integer overflow in            |
|            |                       |                        |                    | g_byte_array_new_take function when called      |
|            |                       |                        |                    | with a buffer of 4GB or more on a 64-bit        |
|            |                       |                        |                    | platform (CVE-2021-27218) For more details      |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:3058 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:2574 | rpm-libs               | 4.14.3-13.el8      | The RPM Package Manager (RPM) is a command-line |
|            |                       |                        |                    | driven package management system capable of     |
|            |                       |                        |                    | installing, uninstalling, verifying, querying,  |
|            |                       |                        |                    | and updating software packages. Security        |
|            |                       |                        |                    | Fix(es): * rpm: Signature checks bypass via     |
|            |                       |                        |                    | corrupted rpm package (CVE-2021-20271) For more |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2574 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4384 | bind-export-libs       | 32:9.11.26-3.el8   | The Berkeley Internet Name Domain (BIND) is     |
|            |                       |                        |                    | an implementation of the Domain Name System     |
|            |                       |                        |                    | (DNS) protocols. BIND includes a DNS server     |
|            |                       |                        |                    | (named); a resolver library (routines for       |
|            |                       |                        |                    | applications to use when interfacing with       |
|            |                       |                        |                    | DNS); and tools for verifying that the DNS      |
|            |                       |                        |                    | server is operating correctly. Security         |
|            |                       |                        |                    | Fix(es): * bind: Broken inbound incremental     |
|            |                       |                        |                    | zone update (IXFR) can cause named to terminate |
|            |                       |                        |                    | unexpectedly (CVE-2021-25214) For more          |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4384 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4511 | curl                   | 7.61.1-18.el8      | The curl packages provide the libcurl library   |
|            |                       |                        |                    | and the curl utility for downloading files      |
|            |                       |                        |                    | from servers using various protocols, including |
|            |                       |                        |                    | HTTP, FTP, and LDAP. Security Fix(es): *        |
|            |                       |                        |                    | curl: Leak of authentication credentials in     |
|            |                       |                        |                    | URL via automatic Referer (CVE-2021-22876)      |
|            |                       |                        |                    | * curl: TELNET stack contents disclosure        |
|            |                       |                        |                    | (CVE-2021-22898) * curl: Incorrect fix          |
|            |                       |                        |                    | for CVE-2021-22898 TELNET stack contents        |
|            |                       |                        |                    | disclosure (CVE-2021-22925) For more details    |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4511 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:3582 | curl                   | 7.61.1-18.el8      | The curl packages provide the libcurl           |
|            |                       |                        |                    | library and the curl utility for downloading    |
|            |                       |                        |                    | files from servers using various protocols,     |
|            |                       |                        |                    | including HTTP, FTP, and LDAP. Security         |
|            |                       |                        |                    | Fix(es): * curl: Content not matching           |
|            |                       |                        |                    | hash in Metalink is not being discarded         |
|            |                       |                        |                    | (CVE-2021-22922) * curl: Metalink download      |
|            |                       |                        |                    | sends credentials (CVE-2021-22923) * curl:      |
|            |                       |                        |                    | Bad connection reuse due to flawed path name    |
|            |                       |                        |                    | checks (CVE-2021-22924) For more details        |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:3582 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4059 | curl                   | 7.61.1-18.el8      | The curl packages provide the libcurl library   |
|            |                       |                        |                    | and the curl utility for downloading files      |
|            |                       |                        |                    | from servers using various protocols, including |
|            |                       |                        |                    | HTTP, FTP, and LDAP. Security Fix(es): *        |
|            |                       |                        |                    | curl: Requirement to use TLS not properly       |
|            |                       |                        |                    | enforced for IMAP, POP3, and FTP protocols      |
|            |                       |                        |                    | (CVE-2021-22946) * curl: Server responses       |
|            |                       |                        |                    | received before STARTTLS processed after TLS    |
|            |                       |                        |                    | handshake (CVE-2021-22947) For more details     |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4059 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4385 | glib2                  | 2.56.4-9.el8       | GLib provides the core application building     |
|            |                       |                        |                    | blocks for libraries and applications written   |
|            |                       |                        |                    | in C. It provides the core object system        |
|            |                       |                        |                    | used in GNOME, the main loop implementation,    |
|            |                       |                        |                    | and a large set of utility functions for        |
|            |                       |                        |                    | strings and common data structures. Security    |
|            |                       |                        |                    | Fix(es): * glib2: Possible privilege            |
|            |                       |                        |                    | escalation thourgh pkexec and aliases           |
|            |                       |                        |                    | (CVE-2021-3800) * glib: g_file_replace()        |
|            |                       |                        |                    | with G_FILE_CREATE_REPLACE_DESTINATION          |
|            |                       |                        |                    | creates empty target for dangling symlink       |
